id,notes,creation
1,stimulus duration set to 10,1645444843
2,5000ms simulation / 1000ms per trial,1645785359
3,100ms simulation,1645786640
4,100ms simulation && changed plot generation,1645786785
5,100ms simulation && changed plot generation,1645788264
6,,1646998414
7,,1647334072
8,,1647334204
9,,1647334424
10,,1647334460
11,,1647334883
12,,1647350932
13,,1647351328
14,,1647351361
15,,1647351662
16,,1647351792
17,,1647356057
18,,1647356101
19,,1647356141
20,,1647420501
21,,1647420541
22,,1647420637
23,,1647420706
24,,1647420765
25,,1647420818
26,,1647420917
27,,1647428850
28,,1647429220
29,,1647429273
30,,1647431441
31,,1647442461
32,,1647442532
33,,1647442583
34,,1647442865
35,10ms simulation && should create and merge correct raster/voltage plots,1647445191
36,10ms simulation && should create and merge correct raster/voltage plots,1647445362
37,10msmulation plots without hist,1647445620
38,generate_spikes,1647448324
